City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2020-10-31 17:34:14,-20.41,57.7,69.8,73,40,6.93
1,Qaanaaq,GL,2020-10-31 17:32:57,77.48,-69.36,10.22,85,95,7.25
2,Lagoa,PT,2020-10-31 17:34:21,39.05,-27.98,68.56,93,70,24.63
3,Tiksi,RU,2020-10-31 17:33:54,71.69,128.87,0.7,93,65,4.36
4,Komsomolskiy,UZ,2020-10-31 17:33:56,40.43,71.72,42.8,38,0,6.93
5,Kudahuvadhoo,MV,2020-10-31 17:36:17,2.67,72.89,83.32,71,40,5.21
6,Labuhan,ID,2020-10-31 17:36:39,-6.88,112.21,75.13,93,100,5.46
7,Sao Joao Da Barra,BR,2020-10-31 17:34:01,-21.64,-41.05,73.4,78,90,25.28
8,Ancud,CL,2020-10-31 17:33:12,-41.87,-73.82,70.0,52,0,6.93
9,Nikolskoye,RU,2020-10-31 17:32:56,59.7,30.79,39.99,86,20,4.27
10,Norrtalje,SE,2020-10-31 17:36:39,59.76,18.7,51.01,90,87,8.01
11,Seoul,KR,2020-10-31 17:34:32,37.57,126.98,59.0,58,90,9.08
12,Laguna,US,2020-10-31 17:34:58,38.42,-121.42,59.0,47,1,4.18
13,Rio Gallegos,AR,2020-10-31 17:34:16,-51.62,-69.22,60.8,44,0,14.99
14,Mosquera,CO,2020-10-31 17:36:39,4.71,-74.23,59.0,77,75,10.29
15,Makakilo City,US,2020-10-31 17:36:40,21.35,-158.09,71.6,88,20,4.7
16,Chapais,CA,2020-10-31 17:32:37,49.78,-74.85,28.4,58,1,13.87
17,Bengkulu,ID,2020-10-31 17:33:47,-3.8,102.27,76.59,87,100,3.49
18,San Patricio,US,2020-10-31 17:34:24,28.02,-97.52,75.99,53,20,5.82
19,Barrow,US,2020-10-31 17:33:54,71.29,-156.79,26.6,68,90,9.17
20,Ushuaia,AR,2020-10-31 17:33:46,-54.8,-68.3,55.4,58,75,5.82
21,Maniago,IT,2020-10-31 17:36:40,46.17,12.71,55.0,83,46,2.01
22,Plettenberg Bay,ZA,2020-10-31 17:33:46,-34.05,23.37,60.6,78,9,11.32
23,Jamestown,US,2020-10-31 17:33:42,42.1,-79.24,42.01,64,90,10.29
24,Georgetown,MY,2020-10-31 17:30:01,5.41,100.34,78.01,94,40,3.36
25,Punta Arenas,CL,2020-10-31 17:35:24,-53.15,-70.92,53.6,66,0,2.24
26,Cherskiy,RU,2020-10-31 17:33:55,68.75,161.3,8.15,88,92,3.49
27,Waipawa,NZ,2020-10-31 17:36:41,-41.41,175.52,57.2,82,44,9.17
28,Upernavik,GL,2020-10-31 17:33:47,72.79,-56.15,16.14,94,72,12.62
29,Golden,US,2020-10-31 17:34:56,39.76,-105.22,66.0,15,20,18.34
30,Kulhudhuffushi,MV,2020-10-31 17:36:41,6.62,73.07,83.43,69,99,6.22
31,Taoudenni,ML,2020-10-31 17:36:41,22.68,-3.98,84.07,14,100,7.83
32,Diffa,NE,2020-10-31 17:36:42,13.32,12.61,83.73,18,0,6.62
33,Dikson,RU,2020-10-31 17:34:21,73.51,80.55,17.22,97,100,13.73
34,Butaritari,KI,2020-10-31 17:34:02,3.07,172.79,81.39,75,68,16.35
35,Port Alfred,ZA,2020-10-31 17:32:52,-33.59,26.89,65.23,75,87,15.39
36,Albany,US,2020-10-31 17:29:19,42.6,-73.97,42.01,65,0,1.99
37,Adre,TD,2020-10-31 17:36:42,13.47,22.2,86.02,21,67,5.57
38,Rikitea,PF,2020-10-31 17:35:24,-23.12,-134.97,75.09,70,6,7.58
39,Tasiilaq,GL,2020-10-31 17:35:25,65.61,-37.64,32.0,97,75,4.7
